felt,tekst,__index_level_0__
"","Driftsinntekter",0
"","Salgsinntekter",0
3000,"Salg og uttak med MVA-plikt",1
3001,"Salgsinntekter og uttak av olje",2
3002,"Salgsinntekter og uttak av tørrgass",3
3003,"Salgsinntekter og uttak av våtgass",4
3004,"Tariffinntekt rørledning",5
3005,"Tariffinntekt prosessering",6
3006,"Timer viderefakturert",7
3007,"Annen kostnad viderefakturert",8
3008,"Endring i mer-/mindreuttak av petroleumsprodukter",9
3100,"Salg og uttak med 0 prosent MVA",10
3200,"Salg og uttak, utenfor MVA loven",11
3300,"Offentlige særavgifter ved slag",12
"",,
"","Andre driftsinntekter ",0a
3400,"Offentlige tilskudd og refusjoner",13
3500,"Endring uopptjent inntekt",14
3600,"Inntekt fra utleie av eiendom",15
3650,"Utleie av rettigheter til jakt/fiske mm.",16
3695,"Andre leieinntekter",17
3700,"Provisjon",18
3710,"Lisens-, patent- og royalty-inntekter",19
3850,"Verdiendringer av investeringseiendommer etter IFRS",20
3870,"Verdiendringer biologiske eiendeler etter IFRS",21
3880,"Gevinst ved avgang av immaterielle eiendeler og varige driftsmidler",22
3885,"Gevinst ved avgang av finansielle anleggsmidler",23
3886,"Gevinst ved overdragelse av tillatelse til petroleumsvirksomhet",24
3890,"Inntekt fra gevinst-/tapskonto",25
3895,"Inntekt fra saldo",26
3900,"Andre driftsinntekter",27
3910,"Inntekt fra tømmerkonto",28
3911,"Inntekt fra jordbrukskonto",29
"",,
sumDriftsinntekt,"SUM Driftsinntekter",30
"",,
"","Driftskostnader",31
"","Varekostnader",0
4001,"Letekostnader",32
4002,"Utbyggingskostnader",33
4003,"Produksjonskostnader",34
4004,"Handling fee / Service fee / Trading fee",35
4005,"Varekostnader inklusiv endring i beholdningen",36
4007,"Endring i mer-/mindreuttak av petroleumsprodukter",37
4008,"Fjernings- og nedstengningskostnader",38
4295,"Endring i beholdningen av ferdige og uferdige egenproduserte varer",39
4500,"Innleid arbeidskraft",40
4995,"Endring i beholdningen av egenproduserte driftsmidler",41
"",,
"","Lønn og kostnader til ansatte",0
5000,"Lønn og feriepenger med mer",42
5300,"Andre opplysningspliktige godtgjørelser",43
5400,"Arbeidsgiveravgift",44
5420,"Opplysningspliktige pensjonskostnader",45
5600,"Arbeidsgodtgjørelse til eiere i ANS mv.",46
5900,"Andre personalkostnader",47
5950,"Egen pensjonsordning",48
"",,
"","Andre driftskostnader",0
6000,"Avskrivning på varige driftsmidler",49
6001,"Avskrivning på produksjonsinnretning og rørledning",50
6002,"Avskrivning på fjernings- og nedstengningseiendeler",51
6004,"Annen avskrivning",52
6050,"Nedskrivning på varige driftsmidler og immaterielle eiendeler",53
6051,"Nedskrivning på produksjonsinnretning og rørledning",54
6052,"Nedskrivning på aktiverte letekostnader",55
6053,"Nedskrivning på anlegg under utførelse",56
6054,"Annen nedskrivning",57
6100,"Frakt- og transportkostnader ved salg",58
6110,"Frakt- og transportkostnad vedrørende salg av olje",59
6120,"Frakt- og transportkostnad vedrørende salg av tørrgass",60
6130,"Frakt- og transportkostnad vedrørende salg av LNG",61
6140,"Frakt- og transportkostnad vedrørende salg av våtgass",62
6200,"Energi og brensel med mer til produksjon",63
6300,"Leie av lokaler",64
6340,"Strøm og oppvarming",65
6350,"IT kostnader",66
6395,"Renovasjon, vann, avløp, renhold med mer",67
6400,"Leie av maskiner, inventar og utstyr med mer",68
6440,"Langtidsleie/leasing av bil",69
